;A;B;C;D;E
561;10;12;17;31;49
562;23;26;36;40;44
563;14;32;34;38;46
564;4;17;32;34;49
565;4;13;32;39;41
566;2;9;18;21;39
567;2;6;18;29;37
568;18;27;41;45;49
569;2;5;11;22;24
570;6;10;11;20;38
571;9;18;26;41;43
572;20;22;26;34;40
573;16;25;27;41;45
574;2;13;22;36;40
575;20;30;38;39;44
576;15;23;26;31;44
577;8;12;15;17;46
578;17;42;43;48;49
579;16;17;26;30;35
580;7;35;36;39;47
581;3;5;8;10;44
582;13;18;24;34;50
583;2;11;18;47;49
584;17;26;35;37;39
585;4;5;21;30;43
586;18;32;39;42;44
587;7;9;40;48;49
588;15;17;23;35;38
589;11;15;24;28;41
590;1;7;11;33;48
591;13;14;25;28;42
592;11;20;23;37;46
593;4;6;8;42;48
594;9;16;32;37;46
595;6;12;25;48;49
596;8;12;37;44;47
597;6;8;13;21;32
598;3;13;33;36;47
599;9;14;15;20;47
600;6;11;26;43;49
601;9;34;35;42;44
602;28;33;34;37;44
603;3;37;45;47;50
604;28;29;31;37;50
605;14;28;31;47;50
606;9;16;27;41;45
607;7;14;34;41;49
608;6;11;16;35;44
609;1;12;15;31;47
610;9;16;17;27;31
611;4;9;29;34;37
612;20;21;30;41;43
613;1;7;17;44;50
614;10;15;25;37;46
615;3;10;20;36;42
616;1;2;6;14;45
617;5;12;15;21;39
618;13;20;34;38;43
619;1;5;12;18;20
620;6;20;27;38;49
621;1;18;37;46;48
622;4;11;12;16;42
623;6;17;22;39;46
624;9;16;32;34;48
625;5;18;21;29;45
626;8;13;16;44;47
627;6;21;23;26;43
628;6;12;36;37;44
629;10;11;31;37;44
630;1;15;19;24;33
631;16;28;32;36;48
632;5;19;33;37;42
633;7;11;20;21;29
634;16;28;31;35;42
635;5;13;16;41;45
636;12;21;24;28;40
637;4;8;9;30;35
638;11;12;13;23;26
639;17;18;30;33;35
640;6;11;29;34;39
641;10;27;30;32;34
642;28;30;31;45;46
643;1;5;8;20;35
644;1;2;11;14;36
645;1;3;29;45;47
646;2;8;16;21;39
647;8;9;11;13;50
648;5;7;21;22;29
649;8;13;24;35;46
650;11;29;32;46;47
651;5;19;33;36;42
652;9;18;30;34;48
653;2;3;18;23;39
654;7;10;13;34;47
655;3;14;23;41;43
656;19;21;23;36;39
657;9;18;20;40;41
658;11;15;17;24;46
659;2;4;12;31;50
660;14;16;24;40;43
661;7;16;22;38;41
662;3;9;11;20;39
663;10;16;34;36;49
664;2;9;38;40;44
665;3;17;19;32;38
666;6;12;25;31;37
667;1;35;36;38;39
668;12;21;23;26;41
669;2;16;22;28;46
670;8;40;41;46;47
671;2;5;11;27;38
672;14;18;20;39;42
673;1;13;16;23;27
674;9;11;13;15;25
675;21;29;31;46;49
676;5;13;43;45;50
677;3;8;10;31;36
678;8;18;26;38;39
679;14;24;31;44;45
680;23;24;38;42;44
681;14;24;29;45;48
682;13;28;29;31;47
683;17;18;40;43;50
684;7;8;12;21;43
685;16;23;30;37;41
686;6;8;42;49;50
687;11;16;22;34;46
688;5;14;35;40;47
689;6;13;15;20;40
690;6;15;21;34;48
691;6;21;23;31;39
692;26;36;43;47;49
693;1;17;22;29;31
694;9;30;34;38;48
695;4;14;15;20;28
